"model","manufacturer","lens_type","lens_mount","focal_length_mm","min_wd_mm","distortion_percent","image_circle_mm","megapixel_rating","recommended_min_pixel_um","pmag","nominal_wd_mm","wd_tolerance_mm","max_sensor_diagonal_mm","telecentricity_deg","dof_mm","numerical_aperture","f_number","coaxial_illumination","notes"
"WWH10-65CT","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","1","65","1","11","0.1","0.9","0","11.1","false","COOLENS WWH 5MP telecentric official product list"
"WWH100-108ATV3","COOLENS","ObjectTelecentric","","0","0","0.01","11","0","0","10","108","0","11","0.01","0.04","0","48","false","COOLENS WWH 5MP telecentric official product list"
"WWH100-108CTLV3","COOLENS","ObjectTelecentric","","0","0","0.01","11","0","0","10","108","0","11","0.01","0.04","0","48","false","COOLENS WWH 5MP telecentric official product list"
"WWH100-108CTV3","COOLENS","ObjectTelecentric","","0","0","0.01","11","0","0","10","108","0","11","0.01","0.04","0","48","false","COOLENS WWH 5MP telecentric official product list"
"WWH100-63ATV3","COOLENS","ObjectTelecentric","","0","0","0.02","11","0","0","10","63","1","11","0.02","0.03","0","39.4","false","COOLENS WWH 5MP telecentric official product list"
"WWH100-63CTLV3","COOLENS","ObjectTelecentric","","0","0","0.02","11","0","0","10","63","1","11","0.02","0.03","0","39.4","false","COOLENS WWH 5MP telecentric official product list"
"WWH100-63CTV3","COOLENS","ObjectTelecentric","","0","0","0.02","11","0","0","10","63","1","11","0.02","0.03","0","39.4","false","COOLENS WWH 5MP telecentric official product list"
"WWH15-108ATV3","COOLENS","ObjectTelecentric","","0","0","0.03","11","0","0","1.5","108","0","11","0.05","0.3","0","7.3","false","COOLENS WWH 5MP telecentric official product list"
"WWH15-108CTLV3","COOLENS","ObjectTelecentric","","0","0","0.03","11","0","0","1.5","108","0","11","0.05","0.3","0","7.3","false","COOLENS WWH 5MP telecentric official product list"
"WWH15-108CTV3","COOLENS","ObjectTelecentric","","0","0","0.03","11","0","0","1.5","108","0","11","0.05","0.3","0","7.3","false","COOLENS WWH 5MP telecentric official product list"
"WWH15-63ATV3","COOLENS","ObjectTelecentric","","0","0","0.04","11","0","0","1.5","63","1","11","0.03","0.3","0","7.5","false","COOLENS WWH 5MP telecentric official product list"
"WWH15-63CTLV3","COOLENS","ObjectTelecentric","","0","0","0.04","11","0","0","1.5","63","1","11","0.03","0.3","0","7.5","false","COOLENS WWH 5MP telecentric official product list"
